task_id	queue_id	url	source_lang	target_lang	format	status	verification_status	notes
DS16	Q211	https://tvrain.tv/news/chto_izvestno_o_pskovskih_desantnikah_i_pochemu_ih_mogily_ishhut_zhurnalisty_i_blogery-374411/	RU	EN	fact_based_digest	queued	search_verified_only	Pskov paratrooper evidence explainer
DS17	Q211	https://tvrain.tv/news/chto_izvestno_o_pskovskih_desantnikah_i_pochemu_ih_mogily_ishhut_zhurnalisty_i_blogery-374411/	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
DS18	Q211	https://tvrain.tv/news/chto_izvestno_o_pskovskih_desantnikah_i_pochemu_ih_mogily_ishhut_zhurnalisty_i_blogery-374411/	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
DS19	Q212	https://tvrain.tv/news/komitet_soldatskih_materej_ob_uchastii_rossijskih_voennyh_v_konflikte_na_ukraine_chinovniki_hotjat_zakryt_nam_rot-374477/	RU	EN	fact_based_digest	queued	search_verified_only	Soldiers' Mothers Committee context
DS20	Q212	https://tvrain.tv/news/komitet_soldatskih_materej_ob_uchastii_rossijskih_voennyh_v_konflikte_na_ukraine_chinovniki_hotjat_zakryt_nam_rot-374477/	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
DS21	Q212	https://tvrain.tv/news/komitet_soldatskih_materej_ob_uchastii_rossijskih_voennyh_v_konflikte_na_ukraine_chinovniki_hotjat_zakryt_nam_rot-374477/	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
DS22	Q223	https://tvrain.tv/news/mestoraspolozhenie_desantnikov_v_ukraine_vychislili_po_geotegam_v_instagrame-373851/	RU	EN	fact_based_digest	queued	search_verified_only	OSINT geotag proof-point
DS23	Q223	https://tvrain.tv/news/mestoraspolozhenie_desantnikov_v_ukraine_vychislili_po_geotegam_v_instagrame-373851/	RU	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
DS24	Q223	https://tvrain.tv/news/mestoraspolozhenie_desantnikov_v_ukraine_vychislili_po_geotegam_v_instagrame-373851/	RU	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
DS25	Q225	https://www.pravda.com.ua/articles/2017/05/17/7144148/	UK	EN	fact_based_digest	queued	search_verified_only	Ukrainian retrospective reference
DS26	Q225	https://www.pravda.com.ua/articles/2017/05/17/7144148/	UK	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
DS27	Q225	https://www.pravda.com.ua/articles/2017/05/17/7144148/	UK	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
DS28	Q226	https://www.latimes.com/world/europe/la-fg-russia-soldier-20150914-story.html	EN	EN	fact_based_digest	queued	search_verified_only	English professional context source
DS29	Q226	https://www.latimes.com/world/europe/la-fg-russia-soldier-20150914-story.html	EN	FR	fact_based_digest	queued	search_verified_only	Translate/adapt to French
DS30	Q226	https://www.latimes.com/world/europe/la-fg-russia-soldier-20150914-story.html	EN	DE	fact_based_digest	queued	search_verified_only	Translate/adapt to German
DS31	Q230	https://freedomhouse.org/country/russia/nations-transit/2015	EN	EN	fact_based_digest	queued	verified_open	Institutional citation of Dozhd reporting
DS32	Q230	https://freedomhouse.org/country/russia/nations-transit/2015	EN	FR	fact_based_digest	queued	verified_open	Translate/adapt to French
DS33	Q230	https://freedomhouse.org/country/russia/nations-transit/2015	EN	DE	fact_based_digest	queued	verified_open	Translate/adapt to German
DS34	Q232	http://peacekeeping-centre.in.ua/Museum/East/Ubit/Dozd.htm	RU	EN	fact_based_digest	queued	verified_open	Mirror attribution support ("Mikhail Zygar and Ilya Klishin")
DS35	Q232	http://peacekeeping-centre.in.ua/Museum/East/Ubit/Dozd.htm	RU	FR	fact_based_digest	queued	verified_open	Translate/adapt to French
DS36	Q232	http://peacekeeping-centre.in.ua/Museum/East/Ubit/Dozd.htm	RU	DE	fact_based_digest	queued	verified_open	Translate/adapt to German
