task_id	queue_id	url	source_lang	target_lang	format	status	verification_status	notes
T27	Q135	https://www.youtube.com/watch?v=J5ON16Vfg8g	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T28	Q136	https://www.youtube.com/watch?v=v5UM_PtM6OI	RU	EN	fact_based_digest	queued	verified	From Wikipedia ext link; verify authenticity
T29	Q136	https://www.youtube.com/watch?v=v5UM_PtM6OI	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T30	Q136	https://www.youtube.com/watch?v=v5UM_PtM6OI	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T31	Q137	https://www.youtube.com/watch?v=bUf_-k3ecMw	RU	EN	fact_based_digest	queued	verified	From Wikipedia ext link; verify authenticity
T32	Q137	https://www.youtube.com/watch?v=bUf_-k3ecMw	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T33	Q137	https://www.youtube.com/watch?v=bUf_-k3ecMw	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T34	Q138	https://www.youtube.com/watch?v=89Er1NnSa5U	RU	EN	fact_based_digest	queued	verified	From Wikipedia ext link; verify authenticity
T35	Q138	https://www.youtube.com/watch?v=89Er1NnSa5U	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T36	Q138	https://www.youtube.com/watch?v=89Er1NnSa5U	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T37	Q139	https://www.youtube.com/watch?v=1I0Ljo1rD9k	RU	EN	fact_based_digest	queued	verified	From Wikipedia ext link; verify authenticity
T38	Q139	https://www.youtube.com/watch?v=1I0Ljo1rD9k	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T39	Q139	https://www.youtube.com/watch?v=1I0Ljo1rD9k	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T40	Q140	https://www.youtube.com/watch?v=r50qN2u8fQ0	RU	EN	fact_based_digest	queued	verified	From Wikipedia ext link; verify authenticity
T41	Q140	https://www.youtube.com/watch?v=r50qN2u8fQ0	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T42	Q140	https://www.youtube.com/watch?v=r50qN2u8fQ0	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T43	Q190	https://www.ted.com/tedx/events/3947	EN	EN	fact_based_digest	queued	verified	Official TEDx event speaker profile (Ilya Klishin)
T44	Q190	https://www.ted.com/tedx/events/3947	EN	FR	fact_based_digest	queued	verified	Translate/adapt to French
T45	Q190	https://www.ted.com/tedx/events/3947	EN	DE	fact_based_digest	queued	verified	Translate/adapt to German
T46	Q191	https://diez.md/2014/11/28/tedxchisinau-live-propaganda-in-social-media-with-ilya-klishin-tedxchisinau/	RO	EN	fact_based_digest	queued	verified	Media coverage of TEDxChisinau talk
T47	Q191	https://diez.md/2014/11/28/tedxchisinau-live-propaganda-in-social-media-with-ilya-klishin-tedxchisinau/	RO	FR	fact_based_digest	queued	verified	Translate/adapt to French
T48	Q191	https://diez.md/2014/11/28/tedxchisinau-live-propaganda-in-social-media-with-ilya-klishin-tedxchisinau/	RO	DE	fact_based_digest	queued	verified	Translate/adapt to German
T49	Q202	https://diez.md/2015/05/16/livetext-foto-ce-se-intampla-la-tedxchisinau-crossroads/	RO	EN	fact_based_digest	queued	verified	Romanian coverage of TEDx event
T50	Q202	https://diez.md/2015/05/16/livetext-foto-ce-se-intampla-la-tedxchisinau-crossroads/	RO	FR	fact_based_digest	queued	verified	Translate/adapt to French
T51	Q202	https://diez.md/2015/05/16/livetext-foto-ce-se-intampla-la-tedxchisinau-crossroads/	RO	DE	fact_based_digest	queued	verified	Translate/adapt to German
T52	Q203	https://diez.md/2015/04/17/tedxchisinau-2015-vezi-aici-lista-completa-a-speaker-ilor-evenimentului-din-16-mai/	RO	EN	fact_based_digest	queued	verified	Romanian speaker list incl. Ilya Klishin
T53	Q203	https://diez.md/2015/04/17/tedxchisinau-2015-vezi-aici-lista-completa-a-speaker-ilor-evenimentului-din-16-mai/	RO	FR	fact_based_digest	queued	verified	Translate/adapt to French
T54	Q203	https://diez.md/2015/04/17/tedxchisinau-2015-vezi-aici-lista-completa-a-speaker-ilor-evenimentului-din-16-mai/	RO	DE	fact_based_digest	queued	verified	Translate/adapt to German
T55	Q204	https://tedxchisinau.com/live/	RO	EN	fact_based_digest	queued	verified	Official TEDxChisinau site page
T56	Q204	https://tedxchisinau.com/live/	RO	FR	fact_based_digest	queued	verified	Translate/adapt to French
T57	Q204	https://tedxchisinau.com/live/	RO	DE	fact_based_digest	queued	verified	Translate/adapt to German
T58	Q205	https://holod.media/2023/07/13/klishin-interview/	RU	EN	fact_based_digest	queued	verified	Confirmed by user on 2026-03-04
T59	Q205	https://holod.media/2023/07/13/klishin-interview/	RU	FR	fact_based_digest	queued	verified	Translate/adapt to French
T60	Q205	https://holod.media/2023/07/13/klishin-interview/	RU	DE	fact_based_digest	queued	verified	Translate/adapt to German
T61	Q233	https://www.youtube.com/watch?v=5UAZpvKKAJY	EN	EN	fact_based_digest	queued	verified_user	User-provided TED talk video URL (2026-03-04)
T62	Q233	https://www.youtube.com/watch?v=5UAZpvKKAJY	EN	FR	fact_based_digest	queued	verified_user	Translate/adapt to French
T63	Q233	https://www.youtube.com/watch?v=5UAZpvKKAJY	EN	DE	fact_based_digest	queued	verified_user	Translate/adapt to German
